Data,UK_3_Month_treasury_Securities,US_3_Month_Treasury_Yield,US_Federal_Funds_Effective,UK_London_Interbank_Offered_Rate,exchus,exukus,Interest_rate_required_reserves,inflation,totval,sprtrn,SP_500_risk_index,efftax_Median,adv_sale_Median,staff_sale_Median,Employment_Cost_Index,Import_Price_Index,Export_Price_Index,Labor_Productivity_Index_business_sector,Labor_Productivity_Index_manufacturing_sector
1990-01-31,14.4529,7.8980952381,8.23,15.1988636364,4.7339,0.6056,0.0,0.010309,3051808110.0,-0.068817,23.3472727273,0.3586,0.005,0.0166,84.7,92.5,95.2,63.588,51.288
1990-02-28,14.3421,8.00210526316,8.24,15.149219,4.7339,0.5896,0.0,0.00471,3087995240.0,0.008539,23.2626315789,0.3586,0.005,0.0166,84.7,92.7,94.6,63.588,51.288
1990-03-31,14.587,8.17,8.28,15.3167618182,4.7339,0.6156,0.0,0.005469,3165214870.0,0.024255,20.0622727273,0.3586,0.005,0.0166,84.7,92.4,94.8,63.588,51.288
1990-04-30,14.62,8.0405,8.26,15.2582242105,4.7339,0.6108,0.0,0.001554,3070901530.0,-0.026887,21.4035,0.3586,0.005,0.0166,84.7,91.6,95.1,63.588,51.288
1990-05-31,14.4826,8.00681818182,8.18,15.1919642857,4.7339,0.5962,0.0,0.002327,3330408750.0,0.091989,18.0977272727,0.3586,0.005,0.0166,84.7,91.2,95.3,63.588,51.288
1990-06-30,14.3198,7.98666666667,8.29,15.0130209524,4.7339,0.5847,0.0,0.005418,3308329830.0,-0.008886,16.8223809524,0.3586,0.005,0.0166,84.7,90.8,95.1,64.189,51.513
1990-07-31,14.3317,7.87476190476,8.15,14.9857954545,4.7339,0.5525,0.0,0.003849,3271591460.0,-0.005223,18.3928571429,0.3586,0.005,0.0166,84.7,90.5,95.3,64.189,51.513
1990-08-31,14.2896,7.69434782609,8.13,15.0174013636,4.7339,0.526,0.0,0.009202,2951893620.0,-0.094314,28.1752173913,0.3586,0.005,0.0166,84.7,93.3,95.4,64.189,51.513
1990-09-30,14.2333,7.59789473684,8.2,14.951172,4.7342,0.5321,0.0,0.008359,2783127290.0,-0.051184,29.1073684211,0.3586,0.005,0.0166,84.7,96.5,95.8,64.554,52.144
1990-10-31,13.1273,7.4,8.11,14.0621604348,4.7339,0.514,0.0,0.006029,2739219530.0,-0.006698,29.6256521739,0.3586,0.005,0.0166,84.7,99.3,96.6,64.554,52.144
1990-11-30,12.6947,7.2905,7.81,13.6811081818,4.9714,0.5091,0.0,0.002247,2905372460.0,0.059934,24.8857142857,0.3586,0.005,0.0166,84.7,98.7,96.7,64.554,52.144
1990-12-31,13.0581,6.9495,7.31,13.8692436842,5.2352,0.5203,0.0,0.0,2979582530.0,0.024828,23.363,0.3586,0.005,0.0166,84.7,98.4,96.3,63.972,52.093
1991-01-31,12.8363,6.41047619048,6.91,14.0085231818,5.2352,0.5169,0.0,0.005979,3115064270.0,0.041518,27.4290909091,0.3586,0.005,0.0166,84.7,97.0,96.8,63.972,52.093
